IPLAN	ICURSO	TITULO	ITEMA	IRECURSO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
017020	CP40MOD075	Definición de tasa de cambio y diferencia de cambio											
017030	CP40MOD075	Definición de transacción en moneda extranjera											
020040	CP40MOD005	Iniciar el sistema por primera vez											
020010	CP40MOD005	Instalación de ContaPyme - Modo monousuario											
020020	CP40MOD005	Instalación del servidor de ContaPyme											
020030	CP40MOD005	Instalación del cliente de ContaPyme - Modo Cliente/Servidor											
020060	CP40MOD005	Instalación y migración a V4											
020045	CP40MOD005	Instalación de un Release											
020035	CP40MOD005	Instalación versión demostrativa ContaPyme 4.0											
020050	CP40MOD005	Proceso de Migración											
020010	CP40MOD020	Operación de movimiento contable											
020020	CP40MOD020	Operación de movimiento contable - contabilización local - niif											
020030	CP40MOD020	Operación de acciones automáticas de fin de mes											
020040	CP40MOD020	Cierre definitivo de mes											
020050	CP40MOD020	Operación de cierre de fin de año											
020010	CP40MOD025	¿Qué son políticas contables?											
020020	CP40MOD025	Catálogo de políticas contables											
020030	CP40MOD025	Informe de políticas contables											
020010	CP40MOD040	Introducción											
020020	CP40MOD040	Generación de certificados ingresos y retenciones en ContaExcel											
020010	CP40MOD050	Conceptos Generales											
020010	CP40MOD060	¿Qué es la conciliación bancaria?											
020010	CP40MOD075	Catálogo de monedas											
020020	CP40MOD075	¿Cómo se crea una nueva moneda?											
020010	CP40MOD080	Creación de cuenta por cobrar por movimiento contable											
020020	CP40MOD080	Abono a cuenta por cobrar por movimiento contable											
020010	CP40MOD090	Operación de gastos											
020010	CP40MOD093	Configuración de terceros - empleados											
020010	CP40MOD100	¿Qué es un presupuesto?											
020020	CP40MOD100	Configuración de las cuentas a presupuestar											
020010	CP40MOD120	¿Qué es la conciliación bancaria?											
020020	CP40MOD130	Catálogo de bodegas											
020025	CP40MOD130	Concepto de bodega											
020009	CP40MOD140	Creación de un elemento tipo servicio											
